id,name,job,job_cat,pic_url,season,skin_tone,eye_color,hair_color,contrast_level,best_color1,best_color2,best_color3,best_color4,best_color5,worst_color1,worst_color2,worst_color3,worst_color4,worst_color5
71,Samantha Ravndahl,Makeup artistry and beauty advice,Social Media Influencers/Content Creators,,cool summer,cool,grayish blue,ash blonde,low,#b4c6d8,#a7acc9,#99a3b2,#c5bdd0,#d5aecb,#ffd700,#ff8c00,#8b4513,#800000,#006400
72,Sehun,EXO,K-pop/Asian Celebrities,https://upload.wikimedia.org/wikipedia/commons/thumb/4/46/Oh_Se-hun_at_Rimowa_Essential_Poly_Color_Collection_Launch_on_July_5%2C_2019.png/1280px-Oh_Se-hun_at_Rimowa_Essential_Poly_Color_Collection_Launch_on_July_5%2C_2019.png,cool summer,cool,dark brown with a soft gray undertone,natural dark brown,low,#b4c7d9,#a0aab4,#879fb3,#6a7f9a,#c1d0e1,#ffd700,#ffa500,#8b4513,#ff6347,#800000
73,Sehun (Oh Se-hun),Member of EXO,K-pop/Asian Celebrities,https://upload.wikimedia.org/wikipedia/commons/thumb/4/46/Oh_Se-hun_at_Rimowa_Essential_Poly_Color_Collection_Launch_on_July_5%2C_2019.png/1280px-Oh_Se-hun_at_Rimowa_Essential_Poly_Color_Collection_Launch_on_July_5%2C_2019.png,cool summer,cool,dark brown with a cool undertone,natural black,low,#6794a7,#a5acc0,#b4c4cb,#d9d2e9,#c2a6b9,#ffd700,#ff8c00,#d2691e,#8b4513,#ff6347
74,Shawn Mendes,Pop music,Musicians/Singers,https://upload.wikimedia.org/wikipedia/commons/a/a4/191125_Shawn_Mendes_at_the_2019_American_Music_Awards.png,cool summer,cool,"dark brown with flecks of lighter brown, giving depth and complexity",dark brown with subtle ash tones,medium,#6b7b8b,#559e9e,#4a638d,#b4c7d9,#c5a3b6,#ffd700,#ff8c00,#8b4513,#ff6347,#800000
75,Tati Westbrook,Beauty tutorials and product reviews,Social Media Influencers/Content Creators,,cool summer,cool,hazel with flecks of green and grey,ashy dark blonde,medium,#b4c7d9,#a8b1bf,#99a0ad,#8897a4,#77848e,#ffd700,#ff8c00,#ff4500,#8b0000,#32cd32
76,Timothée Chalamet,"Call Me by Your Name, Dune",Hollywood Actors,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Timoth%C3%A9e_Chalamet-63482_%28cropped%29.jpg/1280px-Timoth%C3%A9e_Chalamet-63482_%28cropped%29.jpg,cool summer,cool,green with hints of hazel,natural dark brown,medium,#6b7b8b,#7891a2,#5a77a8,#4f657d,#c5d1d8,#ffd700,#ff8c00,#ff4500,#008000,#8b4513
77,Tzuyu,TWICE,K-pop/Asian Celebrities,https://upload.wikimedia.org/wikipedia/commons/5/58/20240305_Chou_Tzuyu_%E5%91%A8%E5%AD%90%E7%91%9C_02.jpg,cool summer,cool,"dark brown, almost black with hints of cool undertones",dark brown with ash tones,medium,#b6c0ca,#a8adc0,#99a8b2,#677e8e,#7599ae,#ffd700,#ff8c00,#ff6347,#8b4513,#ff4500
78,Vivien Leigh,Starring role in 'Gone with the Wind',Historical/Classic Hollywood Icons,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/Vivien_Leigh_Scarlet.jpg/1280px-Vivien_Leigh_Scarlet.jpg,cool summer,cool,green with flecks of gray,dark chestnut brown,medium,#6a8a82,#9b90c8,#a4b0be,#c5b4d3,#d1c4ce,#ffd700,#ff8c00,#8b4513,#800000,#008000
79,Zoe Sugg,"YouTube personality, blogger",Social Media Influencers/Content Creators,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Zoe_Sugg_by_Gage_Skidmore.jpg/1280px-Zoe_Sugg_by_Gage_Skidmore.jpg,cool summer,cool,blue with grey tones,light to medium brown,low,#b4a8c7,#a8adc8,#99b4c8,#89a8c7,#c8b4a8,#ffd700,#ff8c00,#8b4513,#800000,#ff6347
80,Adriana Lima,"Victoria's Secret Angel, high-profile endorsements",Models/Supermodels,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Adriana_Lima_at_80th_Venice_International_Film_Festival.jpg/1280px-Adriana_Lima_at_80th_Venice_International_Film_Festival.jpg,cool winter,cool,blue-gray with a hint of green,deep espresso brown,high,#6a519d,#495c7b,#b4a8e8,#c8a2c8,#9b1c31,#ffd700,#ff8c00,#b8860b,#cd853f,#8b4513
81,Anna Wintour,Editor-in-Chief of Vogue,Fashion Designers/Style Icons,https://upload.wikimedia.org/wikipedia/commons/thumb/6/64/Anna_Wintour_Is_This_Thing_On-78.jpg/1280px-Anna_Wintour_Is_This_Thing_On-78.jpg,cool winter,cool,dark brown with subtle cool undertones,bob with bangs in a light to medium brown shade,high,#113c70,#5b97b1,#cccccc,#6a6fa8,#9b1b30,#ffd700,#f4a460,#d2691e,#ff6347,#ffa07a
82,Ariana Grande,"Pop music, actress",Musicians/Singers,https://upload.wikimedia.org/wikipedia/commons/7/7c/Ariana_Grande_promoting_Wicked_%282024%29.jpg,cool winter,cool,"dark brown, almost appearing black in certain lighting",dark brown to black,high,#5a5b9f,#4a708b,#6f9fd8,#c0003c,#800040,#ffd700,#ffa07a,#ff6347,#ff4500,#d2b48c
83,Audrey Hepburn,Elegant and timeless roles in cinema,Historical/Classic Hollywood Icons,https://upload.wikimedia.org/wikipedia/commons/thumb/7/74/AudreyKHepburn.jpg/1216px-AudreyKHepburn.jpg,cool winter,cool,dark brown with subtle cool undertones,natural dark brown,high,#6a6fa8,#4c516d,#223a5e,#9b1b30,#c0003c,#f3e5ab,#fad2a5,#daa06d,#b68b6f,#ffd700
84,Bette Davis,Powerful performances in classic cinema,Historical/Classic Hollywood Icons,https://upload.wikimedia.org/wikipedia/commons/4/46/BetteDavis1935.jpg,cool winter,cool,deep blue with a distinctive gray edge,ash blonde,high,#6a5acd,#483d8b,#4682b4,#5f9ea0,#000080,#ffd700,#ff6347,#ffa07a,#ff4500,#d2b48c
85,Billie Eilish,Alternative pop music,Musicians/Singers,https://upload.wikimedia.org/wikipedia/commons/c/c7/BillieEilishO2140725-39_-_54665577407_%28cropped%29.jpg,cool winter,cool,blue-gray,platinum blonde,high,#6a7ba2,#003366,#4a638d,#cc3366,#990033,#ffcc99,#ff9966,#cc6633,#996633,#669900
86,Cary Grant,Charming roles in romantic and suspense films,Historical/Classic Hollywood Icons,https://upload.wikimedia.org/wikipedia/commons/thumb/2/27/Grant%2C_Cary_%28Suspicion%29_01_Crisco_edit.jpg/1280px-Grant%2C_Cary_%28Suspicion%29_01_Crisco_edit.jpg,cool winter,cool,dark brown with hints of gray,salt and pepper,high,#113f8c,#e8112d,#009b77,#333d79,#d70060,#ffd700,#ffa07a,#ff6347,#f4a460,#ffdead
87,Charlize Theron,"Mad Max: Fury Road, Monster",Hollywood Actresses,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Charlize-theron-IMG_6045.jpg/1280px-Charlize-theron-IMG_6045.jpg,cool winter,cool,green with flecks of gray,naturally dark blonde,high,#6a6fa8,#005f83,#4a708b,#ffd1dc,#c71585,#f4a460,#ffd700,#ffa07a,#8b4513,#b8860b
88,Chloe Kim,Snowboarding,Athletes/Sports Figures,https://upload.wikimedia.org/wikipedia/commons/8/8c/Chloe_Kim_Seal_V1.jpg,cool winter,cool,dark brown with cool undertones,black,high,#6a6fa8,#003366,#ffd1dc,#990033,#660099,#ffd700,#ffa07a,#ff6347,#ff4500,#8b4513
89,Crown Princess Mary of Denmark,Crown Princess of Denmark,Royal Family Members/Public Figures,,cool winter,cool,dark brown with cool undertones,dark brown with natural cool undertones,high,#6b7b8b,#4a708b,#49516a,#2f2f4f,#515e6b,#eedc82,#ffd700,#ffa07a,#ff6347,#f4a460
90,Duckie Thot,"High-fashion runway shows, advocacy for diversity",Models/Supermodels,https://upload.wikimedia.org/wikipedia/commons/e/eb/Duckie_Thot_after_fashion_show.jpg,cool winter,cool,dark brown almost black,natural black,high,#6a5acd,#483d8b,#00ced1,#4682b4,#5f9ea0,#ffd700,#f4a460,#d2b48c,#ff6347,#ffa07a
91,Emmanuel Macron,President of France,Public Figures,https://upload.wikimedia.org/wikipedia/commons/4/47/Emmanuel_Macron_-_June_2025_%283x4_cropped%29.jpg,cool winter,cool,blue with a grayish undertone,dark ash brown,medium,#5a7d9a,#233067,#6a859e,#b4c6dc,#d6d6d8,#f4c2a0,#daa06d,#ffd700,#cc7722,#a52a2a
92,Halsey,Alternative pop music,Musicians/Singers,https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/Halsey_%40_Hollywood_Forever_10_14_2025_%2854925751159%29.jpg/1280px-Halsey_%40_Hollywood_Forever_10_14_2025_%2854925751159%29.jpg,cool winter,cool,hazel with flecks of green and brown,"naturally dark brown, often dyed in various shades",high,#6a6fa9,#005ba1,#009999,#993366,#cc3366,#ffcc99,#ff9966,#cc9933,#996633,#663300
93,Harry Styles,"Pop music, fashion icon",Musicians/Singers,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b2/HarryStylesWembley170623_%2865_of_93%29_%2852982678051%29_%28cropped_2%29.jpg/1280px-HarryStylesWembley170623_%2865_of_93%29_%2852982678051%29_%28cropped_2%29.jpg,cool winter,cool,emerald green with flecks of golden brown,dark brown with natural cool undertones,high,#0a75ad,#4d4f53,#6b7b8c,#c0c3c5,#ffffff,#ffd700,#ffa07a,#f4a460,#deb887,#cd853f
94,Hedi Slimane,"Celine, previously Saint Laurent",Fashion Designers/Style Icons,https://upload.wikimedia.org/wikipedia/commons/6/6f/Hedi_Slimane_in_2015.jpg,cool winter,cool,dark brown with hints of gray,jet black,high,#223b6d,#4a638d,#a5b3cc,#6d7e8c,#cccccc,#ffd700,#ffa500,#ff6347,#8b4513,#d2b48c
95,Henry Cavill,Superman in DC movies,Hollywood Actors,https://upload.wikimedia.org/wikipedia/commons/thumb/3/30/Henry_Cavill_%2848417913146%29_%28cropped%29.jpg/1043px-Henry_Cavill_%2848417913146%29_%28cropped%29.jpg,cool winter,cool,striking blue with a cool undertone,dark brown,high,#5a7d9a,#223a5e,#4a6374,#9b1b30,#6b2e53,#f4c430,#ffd700,#e97451,#ffdb58,#daa520
96,Jeffree Star,"Beauty YouTuber, entrepreneur",Social Media Influencers/Content Creators,https://upload.wikimedia.org/wikipedia/commons/1/1a/Jeffree_Star_Rupaul_Dragcon_2018-337_%2841377487274%29_%28cropped%29.jpg,cool winter,cool,light blue with a grayish undertone,platinum blonde,high,#236192,#00a3e0,#b8336a,#d60076,#6a358a,#d2b48c,#a0522d,#8b4513,#f4a460,#deb887
97,Jennie Kim,Member of BLACKPINK,K-pop/Asian Celebrities,https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Jennie_Kim_in_November_2023_%28Unedited%29_%28cropped%29.jpg/1280px-Jennie_Kim_in_November_2023_%28Unedited%29_%28cropped%29.jpg,cool winter,cool,dark brown with subtle cool undertones,natural dark brown,high,#4b0082,#00009c,#003366,#333399,#660099,#ffd700,#ffa500,#ff6347,#ff4500,#ff8c00
98,Jimmy Fallon,The Tonight Show Starring Jimmy Fallon,TV Personalities/Talk Show Hosts,https://upload.wikimedia.org/wikipedia/commons/9/9e/Jimmy_Fallon%2C_Montclair_Film_Festival%2C_2013.jpg,cool winter,cool,brown with lighter flecks,dark brown,high,#6a6fa8,#005b96,#003c5a,#a70050,#960018,#f5cba7,#ffd700,#e6b395,#a2836e,#ffad60
99,Joan Crawford,Career spanning from silent movies to 1970s cinema,Historical/Classic Hollywood Icons,https://upload.wikimedia.org/wikipedia/commons/4/49/JCrawford39.jpg,cool winter,cool,dark blue with a grayish tint,dark chestnut with auburn highlights,high,#b4c6ea,#6a7b8b,#c5a3bf,#7898ae,#d6e0f0,#f3cba6,#dec79b,#b7815b,#876d56,#ffd700
100,Jourdan Dunn,"Runway shows, high-fashion campaigns",Models/Supermodels,https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/Jourdan_Dunn_Paris_Fashion_Week_Autumn_Winter_2019.jpg/1280px-Jourdan_Dunn_Paris_Fashion_Week_Autumn_Winter_2019.jpg,cool winter,cool,deep brown,natural dark brown,high,#23395d,#5a79a5,#b4c6e7,#6a7ba2,#35203b,#f1c27d,#deab8a,#ffd700,#e6b398,#ad8b75
101,Kaia Gerber,"Fashion campaigns, runway shows, celebrity lineage",Models/Supermodels,https://upload.wikimedia.org/wikipedia/commons/thumb/2/29/Kaia_Gerber_at_the_2024_Toronto_International_Film_Festival_01_%28Cropped%29.jpg/1280px-Kaia_Gerber_at_the_2024_Toronto_International_Film_Festival_01_%28Cropped%29.jpg,cool winter,cool,"dark brown with a cool, almost ash-like undertone",natural dark brown,medium,#6a6fa8,#4a708b,#003366,#cc0033,#990033,#ffd700,#ffa500,#ff6347,#ff4500,#8b4513
102,Karl Lagerfeld,"Chanel, Fendi",Fashion Designers/Style Icons,https://upload.wikimedia.org/wikipedia/commons/b/b9/Fendi_store_opening_-_Karl_Lagerfeld_%2814091153382%29_crop.jpg,cool winter,cool,dark brown with light flecks,white,high,#0a0f59,#236192,#5a79ba,#9bb7d4,#c1d0e5,#ffd700,#ff6347,#f4a460,#d2691e,#b8860b
103,Kate Middleton,Duchess of Cambridge,Royal Family Members/Public Figures,https://upload.wikimedia.org/wikipedia/commons/e/e9/Princess_of_Wales_at_State_Banquet_2025-09-17_%280.75_crop%29.jpg,cool winter,cool,dark green with flecks of light brown,dark brown with cool undertones,high,#113c70,#4b0082,#ffd700,#c0c0c0,#ffffff,#ff6347,#ffdab9,#f4a460,#d2b48c,#bc8f8f
104,Katy Perry,Pop music,Musicians/Singers,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/KatyPerryWestminst111224_%2881_of_95%29_%2854206733094%29_%28cropped_2%29.jpg/1280px-KatyPerryWestminst111224_%2881_of_95%29_%2854206733094%29_%28cropped_2%29.jpg,cool winter,cool,light blue with a grey undertone,"black (signature dyed), natural blonde",high,#6a6fa8,#005a89,#963d97,#d2386c,#009b77,#f4c2a0,#daa06d,#a67b5b,#6f432a,#fff5ee
105,Lewis Hamilton,Formula 1 Racing,Athletes/Sports Figures,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d3/Prime_Minister_Keir_Starmer_meets_Sir_Lewis_Hamilton_%2854566928382%29_%28cropped%29.jpg/1280px-Prime_Minister_Keir_Starmer_meets_Sir_Lewis_Hamilton_%2854566928382%29_%28cropped%29.jpg,cool winter,cool,"dark brown with a cool, deep base",natural dark brown,high,#5a5b9f,#4a708b,#6a5acd,#483d8b,#4682b4,#ffd700,#ffa07a,#ff6347,#ff4500,#f4a460
106,Marlene Dietrich,Glamorous roles in early Hollywood cinema,Historical/Classic Hollywood Icons,https://upload.wikimedia.org/wikipedia/commons/2/2d/Marlene_Dietrich_in_No_Highway_%281951%29_%28Cropped%29.png,cool winter,cool,light blue with hints of gray,platinum blonde,high,#223b6d,#4a6da7,#6c7b95,#cccccc,#fffafa,#f4a460,#d2691e,#a0522d,#8b4513,#deb887
107,Megan Rapinoe,Soccer,Athletes/Sports Figures,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b7/Megan_Rapinoe_%2848675274817%29_%28cropped%29.jpg/1280px-Megan_Rapinoe_%2848675274817%29_%28cropped%29.jpg,cool winter,cool,light blue with a grayish undertone,platinum blonde,high,#233067,#6a6fa8,#009b77,#005b96,#d6e0f0,#f4c2c2,#d2b48c,#996515,#ffdb58,#cc7722
108,Melania Trump,Former First Lady of the United States,Public Figures,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7f/Melania_Trump%E2%80%99s_Official_White_House_Portrait_%282025%29_%283x4_cropped%29.jpg/1280px-Melania_Trump%E2%80%99s_Official_White_House_Portrait_%282025%29_%283x4_cropped%29.jpg,cool winter,cool,deep blue with a grayish undertone,rich chocolate brown,high,#113c59,#2a4d69,#4c6a92,#eae6ef,#d0d3d4,#f4c2c2,#ffdbac,#fdab9f,#ffd700,#8b4513
109,Michelle Phan,"Beauty YouTuber, entrepreneur",Social Media Influencers/Content Creators,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a3/Michelle_Phan.jpg/1280px-Michelle_Phan.jpg,cool winter,cool,dark brown with a cool undertone,black,high,#6b7b8b,#4a5b6a,#233043,#7f8ca1,#9fa4af,#f4c430,#daa520,#b8860b,#ffd700,#ffa07a
110,Mikaela Shiffrin,Alpine Ski Racing,Athletes/Sports Figures,https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/Mikaela_Shiffrin_%28Portrait%29.jpg/1085px-Mikaela_Shiffrin_%28Portrait%29.jpg,cool winter,cool,blue with gray undertones,dark brown with ash tones,high,#6a5acd,#483d8b,#4682b4,#5f9ea0,#000080,#ffd700,#ffa07a,#cd853f,#f4a460,#d2691e
111,Prince Albert II,Prince of Monaco,Royal Family Members/Public Figures,https://upload.wikimedia.org/wikipedia/commons/3/37/Prince_Albert_II_of_Monaco_at_the_Enthronement_of_Naruhito_%281%29.jpg,cool winter,cool,light blue with a steel gray rim,"salt and pepper, originally dark",high,#223b6d,#4a637d,#6a798c,#2a2f43,#d6d6d8,#ffcc99,#ff9966,#cc6633,#996633,#663300
112,Queen Letizia of Spain,Queen of Spain,Royal Family Members/Public Figures,https://upload.wikimedia.org/wikipedia/commons/8/8d/2020-02-06_Visita_de_los_Reyes_a_%C3%89cija_con_motivo_del_%22Premio_Escuela_del_A%C3%B1o_2019%22_de_la_Fundaci%C3%B3n_Princesa_de_Girona%2C_31_%28Queen_Letizia%29.jpg,cool winter,cool,hazel with flecks of green,dark brown,high,#5a79ba,#233067,#d1d7e9,#6a6fa9,#a5a6d9,#f4c2a0,#fee5ad,#daaa56,#ffdab9,#b5651d
113,Ryan Seacrest,Live with Kelly and Ryan,TV Personalities/Talk Show Hosts,https://upload.wikimedia.org/wikipedia/commons/0/04/Ryan_Seacrest_%282019%29.jpg,cool winter,cool,light brown with flecks of gray,"salt and pepper, originally dark brown",medium,#5a5b9f,#4a708b,#6b3e26,#00009c,#c71585,#ffd700,#f4a460,#d2b48c,#ff6347,#ffa07a
114,Safiya Nygaard,"Beauty and fashion YouTuber, known for 'bad makeup science' experiments",Social Media Influencers/Content Creators,https://upload.wikimedia.org/wikipedia/commons/7/7e/Safiye_nygaard_2018.png,cool winter,cool,dark brown with cool undertones,black,high,#1a1a6a,#4a2040,#5b92e5,#d1d1e0,#400082,#ffd700,#ffa07a,#f4a460,#d2b48c,#ffdead
115,Sana (Minatozaki Sana),Member of TWICE,K-pop/Asian Celebrities,https://upload.wikimedia.org/wikipedia/commons/6/62/Sana_Minatozaki_%E6%B9%8A%EF%A8%91_%E7%B4%97%E5%A4%8F_20250118_07.jpg,cool winter,cool,dark brown with a cool undertone,black,high,#6a6fa8,#004953,#5b609e,#49516f,#a5a0af,#ffd700,#ffa07a,#f4a460,#deb887,#cd853f
116,Saoirse Ronan,"Lady Bird, Little Women",Hollywood Actresses,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ae/MKr349648_Saoirse_Ronan_%28The_Outrun%2C_Berlinale_2024%29.jpg/1280px-MKr349648_Saoirse_Ronan_%28The_Outrun%2C_Berlinale_2024%29.jpg,cool winter,cool,blue with hints of grey,ash blonde,high,#00529b,#6b7b8c,#cccccc,#101820,#e0e0e0,#f4c2c2,#ffd700,#ffa07a,#8b4513,#ff6347
117,Seth Meyers,Late Night with Seth Meyers,TV Personalities/Talk Show Hosts,https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Seth_Meyers_by_Gage_Skidmore.jpg/1280px-Seth_Meyers_by_Gage_Skidmore.jpg,cool winter,cool,light hazel with flecks of green,salt and pepper,medium,#6a8a8d,#485867,#b4c6d8,#d0d6e8,#7694b6,#daa520,#ffd700,#8b4513,#f4a460,#ff6347
118,Simone Biles,Gymnastics,Athletes/Sports Figures,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Simone_Biles_National_Team_2024.jpg/1280px-Simone_Biles_National_Team_2024.jpg,cool winter,cool,dark brown with slight cool undertones,natural dark brown,high,#5a5b9f,#4a306d,#6b7b8c,#223a5e,#88b04b,#e2a76f,#ffdbac,#f9bf58,#d27d46,#f88379
119,Tom Ford,"Fashion design, film",Fashion Designers/Style Icons,https://upload.wikimedia.org/wikipedia/commons/9/98/Tom_Ford_cropped_2009.jpg,cool winter,cool,dark brown with cool undertones,salt and pepper,high,#223b75,#4a5391,#6a6599,#202c59,#9b9bb4,#ffd700,#ffa500,#8b4513,#ff6347,#f4a460
120,Tyra Banks,"Supermodel, reality TV host",Models/Supermodels,https://upload.wikimedia.org/wikipedia/commons/thumb/a/aa/Tyra_Banks_2011.jpg/1152px-Tyra_Banks_2011.jpg,cool winter,cool,hazel with flecks of gold and green,natural dark brown,high,#6a6fa8,#009b77,#005b96,#4a6391,#d3517c,#f4c2a0,#a67b5b,#d9a566,#f3e5ab,#c39953
121,Tzuyu (Chou Tzu-yu),Member of TWICE,K-pop/Asian Celebrities,https://upload.wikimedia.org/wikipedia/commons/5/58/20240305_Chou_Tzuyu_%E5%91%A8%E5%AD%90%E7%91%9C_02.jpg,cool winter,cool,dark brown with cool undertones,natural black,high,#6a6fa8,#4a639b,#49516f,#b4c7e7,#d1d6eb,#f4c430,#cc7722,#ffdb58,#daa520,#996515
122,Victoria Beckham,"Fashion design, pop music",Fashion Designers/Style Icons,https://upload.wikimedia.org/wikipedia/commons/a/a8/VictoriaBeckham2018-2-Crop.jpg,cool winter,cool,"dark brown, almost black, with cool undertones",dark brown with cool undertones,high,#4a638d,#6b7fa8,#223b5a,#b4c7e7,#c14662,#f4c2a0,#daa06d,#b87333,#ffd700,#a67b5b
123,Wayne Goss,Professional makeup artist and beauty YouTuber,Social Media Influencers/Content Creators,https://upload.wikimedia.org/wikipedia/commons/thumb/4/43/Portrait_of_Wayne_Keith_Goss%2C_Premier_of_Queensland.jpg/1280px-Portrait_of_Wayne_Keith_Goss%2C_Premier_of_Queensland.jpg,cool winter,cool,light to medium brown with cool undertones,natural dark brown,high,#113f8c,#0071bc,#00529b,#6b7a8f,#ffffff,#ffd700,#ff8c00,#ff6347,#f4a460,#9acd32
124,Winnie Harlow,"Advocacy for skin conditions, unique look",Models/Supermodels,https://upload.wikimedia.org/wikipedia/commons/5/57/Winnie_Harlow_Cannes_2018.jpg,cool winter,cool,deep brown,natural dark brown,high,#101820,#2a2b5a,#5a79ba,#6b7b8c,#c3cde6,#ffd700,#ffa07a,#f4a460,#deb887,#ff6347
125,Yuzuru Hanyu,Figure Skating,Athletes/Sports Figures,https://upload.wikimedia.org/wikipedia/commons/0/00/2018_Winter_Olympics_-_Yuzuru_Hanyu_%28cropped%29.jpg,cool winter,cool,dark brown with subtle grey tones,black,high,#5a79a5,#00a0b0,#6b3e98,#d70060,#ffb3b3,#f0e68c,#ffd700,#ff6347,#8b4513,#d2b48c
126,Adele,Soulful pop music,Musicians/Singers,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/Adele_2016.jpg/1280px-Adele_2016.jpg,deep autumn,warm,deep green with flecks of brown,natural dark brown,medium,#e8b4a8,#c89f94,#7d4a38,#a56e43,#d9a566,#000000,#ffffff,#ff00ff,#00ffff,#800080
127,Adut Akech,"Runway shows, advocacy for refugees",Models/Supermodels,https://upload.wikimedia.org/wikipedia/commons/4/46/Adut_Akech_at_Roberto_Cavalli_FW22.jpg,deep autumn,warm,deep brown,natural dark brown,medium,#6a4a3c,#cc333f,#00a0b0,#eb6841,#edc951,#a0aab2,#92dce5,#d1f2a5,#ffd3b6,#ffaaa5
128,Alicia Keys,R&B and soul music,Musicians/Singers,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Alicia_Keys_%282025%29.jpg/1280px-Alicia_Keys_%282025%29.jpg,deep autumn,warm,deep brown,natural dark brown,medium,#e8b4a8,#c89f94,#6a4e3d,#8a6642,#9c6d57,#000000,#ffffff,#00ffff,#ff00ff,#800080
129,Allyson Felix,Sprinting,Athletes/Sports Figures,https://upload.wikimedia.org/wikipedia/commons/1/10/AllysonFelixRio2016.jpg,deep autumn,warm,deep brown,natural dark brown,medium,#7a443a,#855c4c,#6a3e37,#c47e5d,#d69a76,#000000,#ffffff,#c0c0c0,#fffff0,#ffd700
130,Ashley Graham,"Plus-size modelling, body positivity advocacy",Models/Supermodels,https://upload.wikimedia.org/wikipedia/commons/7/75/Ashley_Graham_2018.png,deep autumn,warm,deep brown,natural dark brown,medium,#6a4a3c,#cc9966,#ffcc99,#663333,#cc3333,#0000ff,#99ccff,#ccccff,#669999,#ccffff
131,Camila Cabello,Pop and Latin music,Musicians/Singers,https://upload.wikimedia.org/wikipedia/commons/1/14/Camila_Cabello_AMAs_2019.png,deep autumn,warm,deep brown,natural dark brown,medium,#e8b4a8,#c89f94,#d9a066,#b76e79,#6a4e42,#000000,#ffffff,#89cff0,#c0c0c0,#ffc0cb
132,Cardi B,Rap music,Musicians/Singers,https://upload.wikimedia.org/wikipedia/commons/3/36/Cardi_B_March_2024.png,deep autumn,warm,deep brown,natural dark brown,medium,#e8b4a8,#c89f94,#6d4c41,#9e5a4a,#d08c60,#000000,#ffffff,#ff69b4,#00ffff,#0000ff
133,Chadwick Boseman,Black Panther in Marvel movies,Hollywood Actors,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/Chadwick_Boseman_by_Gage_Skidmore_July_2017_%28cropped%29.jpg/1280px-Chadwick_Boseman_by_Gage_Skidmore_July_2017_%28cropped%29.jpg,deep autumn,warm,deep brown,natural dark brown,medium,#7a443a,#855c4c,#6e5039,#d9a566,#b76e54,#a7bddf,#92a8d1,#6b7b8c,#e1eaf4,#f0f8ff
134,Chriselle Lim,"Fashion stylist, blogger, and YouTube personality",Social Media Influencers/Content Creators,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6a/Chriselle_Lim_in_2024.jpg/1280px-Chriselle_Lim_in_2024.jpg,deep autumn,warm,deep brown,natural dark brown,medium,#e8b4a8,#c89f94,#6a4e42,#99582a,#7a422e,#000000,#ffffff,#ffd700,#00ffff,#800080
135,Clark Gable,Iconic roles in 'Gone with the Wind' and other classics,Historical/Classic Hollywood Icons,https://upload.wikimedia.org/wikipedia/commons/3/3a/Clark_Gable_-_publicity.JPG,deep autumn,warm,deep brown,natural dark brown,medium,#6b4536,#855c4c,#9e7861,#c18e60,#d9a976,#a0a0a0,#ffffff,#fffafa,#000080,#800080
136,Emily Ratajkowski,"Modeling, acting, and writing",Models/Supermodels,https://upload.wikimedia.org/wikipedia/commons/9/97/Emily_Ratajkowski_at_Emmy_Awards_2016.jpg,deep autumn,warm,deep brown,natural dark brown,medium,#7a422e,#b56449,#d9825c,#8d4a30,#6a3e27,#93ccea,#c0e8d5,#ffccff,#ff99cc,#00cccc
137,Humphrey Bogart,Leading roles in classic film noir,Historical/Classic Hollywood Icons,https://upload.wikimedia.org/wikipedia/commons/8/84/Humphrey_Bogart_1940.jpg,deep autumn,warm,deep brown,natural dark brown,medium,#6b4536,#b07d62,#798053,#cabba2,#9f6e4f,#000000,#ffffff,#fffafa,#e6e6fa,#dda0dd
138,Hwasa,MAMAMOO,K-pop/Asian Celebrities,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fd/Hwasa_in_February_2025.png/1280px-Hwasa_in_February_2025.png,deep autumn,warm,deep brown,natural dark brown,medium,#d2691e,#8b4513,#a0522d,#ff8c00,#b8860b,#c0c0c0,#00ffff,#0000ff,#000080,#ff00ff
139,Hwasa (Ahn Hye-jin),Member of MAMAMOO,K-pop/Asian Celebrities,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fd/Hwasa_in_February_2025.png/1280px-Hwasa_in_February_2025.png,deep autumn,warm,deep brown,natural dark brown,medium,#6b4536,#804e36,#a66e4e,#cc7832,#d9a56e,#a8ccea,#92c1d9,#f0ead6,#fffff0,#e0ffff
